"";"id_siae";"categorie_juridique_code";"code_naf";"siret_signature";"siret_actualise";"adresse_admin_code_insee";"annee";"effectif"
"1";36122;5453;"9103Z";90467011400019;44449039500035;"73181";2025;23
"2";90908;7348;"";77806895700068;33491247400171;"59360";2025;44
"3";3884;5515;"1413Z";34286069900020;35006244400020;"25475";2025;18
"4";816;9300;"0119Z";34830190400044;35215126000044;"46042";2025;18
"5";97408;1600;"7711A";38275489300024;40101593800970;"76231";2025;28
"6";70097;5660;"8292Z";81978512200048;34796827300040;"22245";2025;20
"7";13038;5202;"4939B";50352904200064;79976790000027;"64422";2025;32
"8";30312;9222;"6820B";43480564400011;98086142100017;"93051";2025;8
"9";29137;5720;"4941B";49266165700014;98232742100011;"80212";2025;10
"10";6565;NA;"7729Z";53166774900026;80798837300021;"14341";2025;38
"11";14872;7366;"8219Z";31658190900116;39435621600025;"97617";2025;28
"12";25255;9221;"3299Z";40412902500023;42218474700042;"97213";2025;10
"13";12614;5660;"0121Z";50995750200016;75242895300026;"70026";2025;29
"14";67807;9900;"5229B";43356359000044;33837032300119;"80620";2025;41
"15";40192;7220;"5320Z";78958160000010;77537037200416;"70311";2025;14
"16";96086;7367;"4939A";33213934400011;42880482700031;"97228";2025;2
"17";86971;7348;"7410Z";51985236200028;78956615500014;"93039";2025;24
"18";86641;4140;"8720A";41221545100029;41531574600032;"32013";2025;36
"19";32542;9220;"8610Z";88752727300023;42004126100033;"76540";2025;10
"20";16880;5202;"9522Z";39842731000048;84537825600018;"33013";2025;18
"21";53010;9900;"3312Z";89517120500035;80987593300016;"77316";2025;20
"22";41643;5720;"8532Z";44025969500052;53248447400012;"65440";2025;11
"23";32636;9223;"9104Z";88204367200634;49124039600045;"03190";2025;37
"24";19462;5710;"4511Z";44431340700017;37958130900026;"62321";2025;23
"25";40730;9220;"4642Z";48856661300037;88204367200162;"31107";2025;44
"26";87692;7220;"6202B";48122990400018;82080754300013;"14061";2025;8
"27";66530;6901;"8790A";87940808600012;77570180800062;"97105";2025;38
"28";45996;7220;"4779Z";43209188200022;33248298300035;"76484";2025;20
"29";10398;1600;"4333Z";44259611000043;40219166200590;"56094";2025;27
"30";10931;1900;"0121Z";40195183500016;37839168400032;"75113";2025;33
"31";96063;9300;"8292Z";38989059100115;33271260300064;"06030";2025;30
"32";72131;9260;"5629B";42442213700028;89216227200025;"84141";2025;12
"33";33383;1600;"4942Z";90504816100012;42157560600049;"40310";2025;11
"34";43325;7331;"5320Z";21800585800012;39227763800053;"35193";2025;20
"35";35959;1800;"4399C";50026640800037;45340899900010;"73029";2025;5
"36";33957;7355;"5210B";41964445500018;32740819100036;"97361";2025;32
"37";45055;7220;"0162Z";35223717600024;45312732600016;"40310";2025;7
"38";31917;4120;"7830Z";87874849000017;44384930200056;"08037";2025;40
"39";27248;9220;"8130Z";30536374900030;88021156000011;"86041";2025;45
"40";85651;7366;"4939B";51825766200032;44109081800044;"82087";2025;46
"41";16326;5453;"0124Z";38359914900036;39875166900027;"40310";2025;25
"42";37810;7220;"9511Z";38150897700059;44511385500024;"85226";2025;30
"43";32479;9220;"9511Z";39146003700057;48538664300038;"66136";2025;45
"44";80086;5660;"6010Z";88260674200014;85276378800019;"97608";2025;18
"45";99373;5498;"4779Z";20006808800018;24560046500133;"44195";2025;1
"46";75527;5498;"4322A";48394775000020;98256978200013;"13004";2025;8
"47";47004;7210;"8790B";82507668000032;92344954000015;"78615";2025;46
"48";99196;5515;"1071C";21560107100016;90485127600017;"89309";2025;16
"49";65316;1600;"5629B";42156728000027;33248298300035;"76498";2025;28
"50";99036;7345;"4723Z";91176725900011;40194977100018;"07019";2025;43
"51";64457;7367;"7711A";92246988700017;84279641900013;"75110";2025;40
"52";46051;5660;"9412Z";48877909100013;90790575600017;"47032";2025;42
